lookupname;familyvernacular
Grauwe Gans;Geese
Nijlgans;Geese
Grote Canadese Gans;Geese
Soepgans;Geese
Brandgans;Geese
Knobbelzwaan;Swans
Kolgans;Geese
Canadese Gans;Geese
Toendrarietgans;Geese
Kleine Zwaan;Swans
Wilde Zwaan;Swans
Rotgans;Geese
Kleine Rietgans;Geese
Zwartbuikrotgans;Geese
Sneeuwgans;Geese
Indische Gans;Geese
Kleine Canadese Gans;Geese
Roodhalsgans;Geese
Zwarte Rotgans;Geese
Witbuikrotgans;Geese
Dwerggans;Geese
Taigarietgans;Geese
Ross` Gans;Geese
Fuut;Grebes
Aalscholver;Cormorants
Smient;Ducks
Krakeend;Ducks
Wilde Eend;Ducks
Slobeend;Ducks
Kuifeend;Ducks
Meerkoet;Coots
Kievit;Waders
Wulp;Waders
Kokmeeuw;Gulls
Stormmeeuw;Gulls
Grote Mantelmeeuw;Gulls
Blauwe Reiger;Herons
Soepeend;Ducks
Zilvermeeuw;Gulls
Brilduiker;Ducks
Grote Zaagbek;Ducks
Kleine Mantelmeeuw;Gulls
Grote Gele Kwikstaart;Wagtails
Bergeend;Ducks
Wintertaling;Ducks
Pijlstaart;Ducks
Slechtvalk;Falcons
Scholekster;Waders
Watersnip;Waders
Houtsnip;Waders
Pontische Meeuw;Gulls
Geelpootmeeuw;Gulls
Dodaars;Grebes
Waterral;Rails
Waterhoen;Coots
IJsvogel;Kingfishers
Tafeleend;Ducks
Bruine Kiekendief;Raptors
Bonte Strandloper;Waders
Kemphaan;Waders
Witgat;Waders
Grote Zilverreiger;Herons
Kluut;Waders
Tureluur;Waders
Kuifduiker;Ducks
Middelste Zaagbek;Ducks
Nonnetje;Ducks
Blauwe Kiekendief;Raptors
Steenloper;Waders
Grote Zee-eend;Ducks
Eider;Ducks
Lepelaar;Spoonbills
Casarca;Ducks
Geoorde Fuut;Grebes
Zwarte Zee-eend;Ducks
Goudplevier;Waders
Kanoet;Waders
Zeearend;Raptors
Steltkluut;Waders
IJsduiker;Divers
Bokje;Waders
Roerdomp;Herons
Ruigpootbuizerd;Raptors
Ooievaar;Storks
Kraanvogel;Cranes
Smelleken;Falcons
Topper;Ducks
Carolina-eend;Ducks
Mandarijneend;Ducks
Zwarte Ruiter;Waders
Roodkeelduiker;Divers
Krooneend;Ducks
Paarse Strandloper;Waders
Drieteenstrandloper;Waders
Kleine Burgemeester;Gulls
Oeverloper;Waders
IJseend;Ducks
Witoogeend;Ducks
Parelduiker;Divers
Purperreiger;Herons
Rosse Stekelstaart;Ducks
Zilverplevier;Waders
Rosse Grutto;Waders
Sneeuwgors;Buntings
Bontbekplevier;Waders
Frater;Finches
Kleine Zilverreiger;Herons
Groenpootruiter;Waders
IJslandse Grutto;Waders
Velduil;Owls
Strandleeuwerik;Larks
IJsgors;Buntings
Jan-van-gent;Gannets
Grote Jager;Skuas
Koereiger;Herons
Zeekoet;Auks
Roodhalsfuut;Grebes
Grutto;Waders
Visarend;Raptors
Zwarte Ibis;Ibises
Grote Burgemeester;Gulls
Alk;Auks
Drieteenmeeuw;Gulls
Kuifaalscholver;Cormorants
Zwarte Zeekoet;Auks
Kleine Jager;Skuas
Dwergmeeuw;Gulls
Middelste Jager;Skuas
Zwartkopmeeuw;Gulls
Buizerd;Raptors
Torenvalk;Falcons
Fazant;Pheasants
Holenduif;Pigeons
Waterpieper;Pipits
Witte Kwikstaart;Wagtails
Winterkoning;Wrens
Heggenmus;Accentors
Roodborst;Thrushes
Merel;Thrushes
Tjiftjaf;Warblers
Pimpelmees;Tits
Koolmees;Tits
Ekster;Crows
Zwarte Kraai;Crows
Vink;Finches
Groenling;Finches
Sperwer;Raptors
Groene Specht;Woodpeckers
Grote Bonte Specht;Woodpeckers
Koperwiek;Thrushes
Cetti's Zanger;Warblers
Goudhaan;Warblers
Vuurgoudhaan;Warblers
Staartmees;Tits
Boomkruiper;Creepers
Gaai;Crows
Kauw;Crows
Putter;Finches
Appelvink;Finches
Veldleeuwerik;Larks
Graspieper;Pipits
Rietgors;Buntings
Baardman;Tits
Spreeuw;Starlings
Goudvink;Finches
Sijs;Finches
Kramsvogel;Thrushes
Kleine Barmsijs;Finches
Houtduif;Pigeons
Havik;Raptors
Zanglijster;Thrushes
Ringmus;Sparrows
Matkop;Tits
Boomklever;Nuthatches
Keep;Finches
Grote Barmsijs;Finches
Zwartkop;Warblers
Roek;Crows
Glanskop;Tits
Turkse Tortel;Pigeons
Huismus;Sparrows
Geelgors;Buntings
Halsbandparkiet;Parrots
Stadsduif;Pigeons
Oeverpieper;Pipits
Roodborsttapuit;Chats
Grote Lijster;Thrushes
Kneu;Finches
Rode Wouw;Raptors
Raaf;Crows
Boomleeuwerik;Larks
Kuifmees;Tits
Zwarte Mees;Tits
Beflijster;Thrushes
Kleine Bonte Specht;Woodpeckers
Bosuil;Owls
Bonte Kraai;Crows
Patrijs;Partridges
Steenuil;Owls
Kerkuil;Owls
Zwarte Roodstaart;Thrushes
Buidelmees;Tits
Zwarte Specht;Woodpeckers
Ransuil;Owls
Witkopstaartmees;Tits
Kruisbek;Finches
Middelste Bonte Specht;Woodpeckers
Klapekster;Shrikes
Grote Stern;Terns
Grote Alexanderparkiet;Parrots
Noordse Kauw;Crows
Waterspreeuw;Dippers
Noordse Stern;Terns
Kleine Strandloper;Waders
Flamingo;Flamingos
Amerikaanse Smient;Ducks
